2206,三陽工業,市,12月12日,,73.2,-0.8,-1.08,"3,016",222,74,74,74.3,73.2,1.49,10.7,2.7,    ,    ,    ,    ,    
2236,百達-KY,市,12月12日,,72.7,-0.6,-0.82,301,22,73.4,72.6,73.9,72.5,1.91,29.9,2.63,    ,    ,    ,    ,    
2239,英利-KY,市,12月12日,,59.8,-0.6,-0.99,72,4.3,60.4,60.8,60.9,59.7,1.99,34.4,0.65,    ,    ,    ,    ,    
2313,華通,市,12月12日,,70.9,1.9,2.75,"65,811","4,704",69,70,72.7,69.5,4.64,17.6,2.19,    ,    ,    ,    ,    
2329,華泰,市,12月12日,,60.2,-0.3,-0.5,"25,928","1,584",60.5,60.5,62,60,3.31,28.4,4.15,    ,    ,    ,    ,    
2338,光罩,市,12月12日,,70.6,-0.3,-0.42,935,66.5,70.9,71.4,71.8,70.5,1.83,16.3,3.1,    ,    ,    ,    ,    
2347,聯強,市,12月12日,,69.2,0.4,0.58,"3,527",243,68.8,69.4,69.4,68.4,1.45,15.2,1.64,    ,    ,    ,    ,    
2354,鴻準,市,12月12日,,51.3,0,0,"2,074",107,51.3,51.9,51.9,51.2,1.36,18.1,0.7,    ,    ,    ,    ,    
2355,敬鵬,市,12月12日,,53,-0.2,-0.38,"10,066",534,53.2,53.6,54.2,52.5,3.2,28.8,1.31,    ,    ,    ,    ,    
2375,凱美,市,12月12日,,73.8,-0.4,-0.54,617,45.8,74.2,74.8,75,73.8,1.62,23.8,0.88,    ,    ,    ,    ,    
2387,精元,市,12月12日,,57.1,0.5,0.88,"1,416",80.5,56.6,56.7,57.2,56.6,1.06,8.22,1.19,    ,    ,    ,    ,    
2392,正崴,市,12月12日,,51.6,4.5,9.55,"36,206","1,816",47.1,48,51.8,47.8,8.49,18,0.98,    ,    ,    ,    ,    
2397,友通,市,12月12日,,66.1,-0.1,-0.15,18,1.2,66.2,65.8,66.1,65.2,1.36,18.4,2.44,    ,    ,    ,    ,    
2408,南亞科,市,12月12日,,72.5,0.3,0.42,"13,392",981,72.2,74,74.8,72.3,3.46,,1.31,    ,    ,    ,    ,    
