4609,唐鋒,櫃,2023/12/12,,5.79,-0.03,-0.52,7,0.04,5.82,5.82,5.82,5.79,0.52,,1.56,    ,    ,    ,    ,    
4702,中美實,櫃,2023/12/12,,13,0.1,0.78,364,4.69,12.9,12.9,13,12.85,1.16,14.9,0.78,    ,    ,    ,    ,    
4707,磐亞,櫃,2023/12/12,,12.7,-0.1,-0.78,428,5.46,12.8,12.8,12.85,12.7,1.17,13.4,0.84,    ,    ,    ,    ,    
4711,永純,櫃,2023/12/12,,16.25,0,0,49,0.8,16.25,16.25,16.25,16.2,0.31,108,0.94,    ,    ,    ,    ,    
4712,南璋,櫃,2023/12/12,,2.71,0.05,1.88,126,0.33,2.66,2.66,2.71,2.6,4.14,,3.82,    ,    ,    ,    ,    
4714,永捷,櫃,2023/12/12,,13.7,0.1,0.74,1093,15.1,13.6,13.85,13.95,13.7,1.84,,1.28,    ,    ,    ,    ,    
4716,大立,櫃,2023/12/12,,12.95,-0.05,-0.38,134,1.74,13,13.15,13.2,12.95,1.92,,1.05,    ,    ,    ,    ,    
4720,德淵,市,2023/12/12,,15.95,0.3,1.92,1235,19.7,15.65,16.05,16.05,15.75,1.92,21.3,1.2,    ,    ,    ,    ,    
4729,熒茂,櫃,2023/12/12,,15.55,-0.15,-0.96,64,1,15.7,15.7,15.75,15.5,1.59,27.8,1.06,    ,    ,    ,    ,    
4804,大略-KY,櫃,2023/12/12,,4.4,0.02,0.46,63,0.28,4.38,4.25,4.5,4.25,5.71,,1.31,    ,    ,    ,    ,    
4806,昇華,櫃,2023/12/12,,14.5,-1.45,-9.09,372,5.45,15.95,15.95,15.95,14.5,9.09,,9.86,    ,    ,    ,    ,    
4807,日成-KY,市,2023/12/12,,16.8,-0.5,-2.89,40,0.67,17.3,17.05,17.05,16.75,1.73,,0.86,    ,    ,    ,    ,    
4903,聯光通,櫃,2023/12/12,,16.9,0,0,35,0.6,16.9,16.9,16.9,16.8,0.59,,1.91,    ,    ,    ,    ,    
4924,欣厚-KY,櫃,2023/12/12,,11.55,-0.2,-1.7,17,0.2,11.75,11.6,11.6,11.5,0.85,,1.2,    ,    ,    ,    ,    
4939,亞電,櫃,2023/12/12,,20.65,-0.1,-0.48,1995,42,20.75,20.8,21.6,20.45,5.54,76.5,1.3,    ,    ,    ,    ,    
4943,康控-KY,市,2023/12/12,,15.15,-0.45,-2.88,20,0.3,15.6,14.6,15.6,14.6,6.41,,50.5,    ,    ,    ,    ,    
4956,光鋐,市,2023/12/12,,16.3,-0.2,-1.21,356,5.83,16.5,16.6,16.6,16.25,2.12,,0.91,    ,    ,    ,    ,    
4960,誠美材,市,2023/12/12,,13.05,-0.05,-0.38,3883,50.5,13.1,13.1,13.15,12.85,2.29,,0.79,    ,    ,    ,    ,    
5014,建錩,櫃,2023/12/12,,14.15,-0.05,-0.35,112,1.59,14.2,14.2,14.3,14.15,1.06,50.5,0.82,    ,    ,    ,    ,    
5202,力新,櫃,2023/12/12,,16.55,-0.45,-2.65,329,5.5,17,16.9,17,16.55,2.65,1655,1.5,    ,    ,    ,    ,    
5205,中茂,櫃,2023/12/12,,24.7,-0.85,-3.33,1,0.03,25.55,24.7,24.7,24.7,0,,4.39,    ,    ,    ,    ,    
5206,坤悅,櫃,2023/12/12,,24.6,0,0,82,2.01,24.6,24.5,24.8,24.5,1.22,25.4,1.36,    ,    ,    ,    ,    
5211,蒙恬,櫃,2023/12/12,,22.7,-0.15,-0.66,39,0.89,22.85,22.75,22.75,22.55,0.88,,1.75,    ,    ,    ,    ,    
