3130,一零四,市,12月12日,,211.5,0,0,12,2.58,211.5,211.5,211.5,211.5,0,15.9,4.44,    ,    ,    ,    ,    
3131,弘塑,櫃,12月12日,,523,-15,-2.79,826,436,538,546,550,521,5.39,25.9,4.28,    ,    ,    ,    ,    
3138,耀登,市,12月12日,,157,-1,-0.63,508,80.4,158,159,161,156.5,2.85,22.3,4.49,    ,    ,    ,    ,    
3152,璟德,櫃,12月12日,,259,4,1.57,572,148,255,256,261.5,255.5,2.35,74.4,5.1,    ,    ,    ,    ,    
3169,亞信,櫃,12月12日,,131.5,-2.5,-1.87,775,103,134,135,136.5,130.5,4.48,32.4,4.9,    ,    ,    ,    ,    
3178,公準,櫃,12月12日,,106.5,0,0,850,90.8,106.5,108,109,105,3.76,21.7,3.86,    ,    ,    ,    ,    
3189,景碩,市,12月12日,,103.5,0.5,0.49,"2,361",244,103,104,105,102.5,2.43,53.4,1.5,    ,    ,    ,    ,    
3217,優群,櫃,12月12日,,167.5,-0.5,-0.3,"1,738",291,168,167.5,170,165,2.98,23.7,3.56,    ,    ,    ,    ,    
3218,大學光,櫃,12月12日,,284,0.5,0.18,158,45.1,283.5,284,285.5,283.5,0.71,23.2,8.07,    ,    ,    ,    ,    
3227,原相,櫃,12月12日,,162,4.5,2.86,"4,480",724,157.5,158.5,163.5,158.5,3.17,50.6,2.5,    ,    ,    ,    ,    
3228,金麗科,櫃,12月12日,,275,-10,-3.51,"1,803",502,285,277,287,272,5.26,,29.9,    ,    ,    ,    ,    
3260,威剛,櫃,12月12日,,104,-0.5,-0.48,"13,726","1,448",104.5,106.5,107.5,104,3.35,31,2.17,    ,    ,    ,    ,    
3293,鈊象,櫃,12月12日,,734,16,2.23,"1,660","1,210",718,727,735,715,2.79,16.7,9.77,    ,    ,    ,    ,    
3310,佳穎,櫃,12月12日,,107.5,-4,-3.59,842,93.1,111.5,112.5,116,103,11.7,34.7,4.06,    ,    ,    ,    ,    
3324,雙鴻,櫃,12月12日,,343,0,0,"2,938","1,005",343,348.5,349,337,3.5,24.4,4.9,    ,    ,    ,    ,    
3357,臺慶科,櫃,12月12日,,115,-0.5,-0.43,151,17.3,115.5,116,116,114,1.73,19.3,1.76,    ,    ,    ,    ,    
3362,先進光,櫃,12月12日,,188,3.5,1.9,"2,765",521,184.5,183,192,183,4.88,74.6,8.25,    ,    ,    ,    ,    
3374,精材,櫃,12月12日,,127.5,-1,-0.78,"2,885",370,128.5,129,130,127,2.33,24.8,4.6,    ,    ,    ,    ,    
3376,新日興,市,12月12日,,125,2,1.63,"5,275",666,123,123,128.5,123,4.47,29.9,1.52,    ,    ,    ,    ,    
3406,玉晶光,市,12月12日,,403,8,2.03,"2,506","1,011",395,398.5,407.5,398.5,2.28,16.4,2.24,    ,    ,    ,    ,    
3413,京鼎,市,12月12日,,198,3.5,1.8,977,195,194.5,195,203,195,4.11,10.1,1.73,    ,    ,    ,    ,    
3416,融程電,市,12月12日,,124.5,-0.5,-0.4,97,12.1,125,125.5,125.5,124,1.2,17.9,3.19,    ,    ,    ,    ,    
3443,創意,市,12月12日,,1790,-35,-1.92,"4,214","7,673",1825,1850,1855,1790,3.56,57.9,26.7,    ,    ,    ,    ,    
3444,利機,櫃,12月12日,,113,0.5,0.44,897,102,112.5,113,115,112.5,2.22,42.3,4.58,    ,    ,    ,    ,    
3454,晶睿,市,12月12日,,155.5,-3.5,-2.2,428,67.1,159,160.5,162,155,4.4,20.8,3.87,    ,    ,    ,    ,    
3479,安勤,櫃,12月12日,,115,5,4.55,"3,781",427,110,111,115.5,109.5,5.45,12.4,2.71,    ,    ,    ,    ,    
3483,力致,櫃,12月12日,,149,-1.5,-1,"1,887",283,150.5,151,152,149,1.99,19.1,3.03,    ,    ,    ,    ,    
3491,昇達科,櫃,12月12日,,168,2,1.2,"1,176",197,166,167.5,169,166.5,1.51,50.9,5.28,    ,    ,    ,    ,    
3515,華擎,市,12月12日,,225.5,-6.5,-2.8,"1,915",437,232,232,233,225.5,3.23,44.7,3.42,    ,    ,    ,    ,    
3526,凡甲,櫃,12月12日,,194,5.5,2.92,"1,519",295,188.5,190.5,195.5,190.5,2.65,19.4,4.56,    ,    ,    ,    ,    
3527,聚積,櫃,12月12日,,115,0,0,"1,967",233,115,117.5,122.5,115,6.52,,2.04,    ,    ,    ,    ,    
3529,力旺,櫃,12月12日,,2570,20,0.78,585,"1,514",2550,2570,2625,2560,2.55,128,73.3,    ,    ,    ,    ,    
3530,晶相光,市,12月12日,,105.5,-4,-3.65,"1,814",195,109.5,110.5,111.5,105.5,5.48,,3.31,    ,    ,    ,    ,    
3532,台勝科,市,12月12日,,165,4,2.48,"5,707",948,161,162.5,169,162.5,4.04,16.8,2.58,    ,    ,    ,    ,    
3533,嘉澤,市,12月12日,,980,-10,-1.01,955,940,990,994,999,977,2.22,18.7,4.05,    ,    ,    ,    ,    
3545,敦泰,市,12月12日,,117.5,-2,-1.67,"4,349",513,119.5,121,121.5,116.5,4.18,77.8,2.7,    ,    ,    ,    ,    
3548,兆利,櫃,12月12日,,221.5,-0.5,-0.23,"1,254",282,222,223,230,221.5,3.83,32.6,2.82,    ,    ,    ,    ,    
3552,同致,櫃,12月12日,,147,0,0,225,33.1,147,148.5,148.5,146.5,1.36,29.1,2.92,    ,    ,    ,    ,    
3558,神準,櫃,12月12日,,252,1,0.4,302,76.7,251,254,256.5,252,1.79,11.8,2.68,    ,    ,    ,    ,    
3563,牧德,市,12月12日,,222.5,0.5,0.23,541,120,222,222.5,228,217.5,4.73,19.8,2.5,    ,    ,    ,    ,    
3570,大塚,櫃,12月12日,,150,-3.5,-2.28,145,21.9,153.5,153.5,153.5,150,2.28,12.6,2.96,    ,    ,    ,    ,    
3583,辛耘,市,12月12日,,211,-0.5,-0.24,"1,551",329,211.5,213.5,215,211,1.89,27.8,4.41,    ,    ,    ,    ,    
3587,閎康,櫃,12月12日,,233.5,-1.5,-0.64,473,111,235,238,238.5,233.5,2.13,19.6,3.48,    ,    ,    ,    ,    
3592,瑞鼎,市,12月12日,,384,-5,-1.29,472,182,389,389,389,384,1.29,20.4,2.7,    ,    ,    ,    ,    
3596,智易,市,12月12日,,171.5,3,1.78,"4,837",830,168.5,170,173.5,169.5,2.37,15.9,2.65,    ,    ,    ,    ,    
3611,鼎翰,櫃,12月12日,,234.5,-2,-0.85,87,20.5,236.5,236.5,237,234,1.27,10.7,2.09,    ,    ,    ,    ,    
3617,碩天,市,12月12日,,197.5,-4,-1.99,944,188,201.5,203,203,197,2.98,12.7,2.48,    ,    ,    ,    ,    
3653,健策,市,12月12日,,667,13,1.99,879,588,654,656,675,655,3.06,36.6,8.52,    ,    ,    ,    ,    
3661,世芯-KY,市,12月12日,,3520,10,0.28,"1,612","5,673",3510,3510,3560,3480,2.28,94.2,14.9,    ,    ,    ,    ,    
3665,貿聯-KY,市,12月12日,,269,-2.5,-0.92,389,105,271.5,272,272.5,268,1.66,15.8,1.82,    ,    ,    ,    ,    
3675,德微,櫃,12月12日,,274,13,4.98,"2,175",590,261,267,275.5,265,4.02,37.7,8.08,    ,    ,    ,    ,    
3679,新至陞,市,12月12日,,107,-1,-0.93,72,7.72,108,108.5,108.5,106.5,1.85,13.4,1.49,    ,    ,    ,    ,    
3680,家登,櫃,12月12日,,367.5,-7,-1.87,"2,109",779,374.5,377,378,365.5,3.34,36.2,5.02,    ,    ,    ,    ,    
3687,歐買尬,櫃,12月12日,,102.5,-2.5,-2.38,812,85.2,105,106,107.5,102,5.24,64.9,2.13,    ,    ,    ,    ,    
3693,營邦,櫃,12月12日,,440.5,-7.5,-1.67,"2,049",914,448,450.5,454.5,439.5,3.35,17,6.23,    ,    ,    ,    ,    
3711,日月光投控,市,12月12日,,129.5,-1.5,-1.15,"9,137","1,189",131,131,131.5,129,1.91,14.6,1.89,    ,    ,    ,    ,    
4107,邦特,櫃,12月12日,,108.5,-1.5,-1.36,71,7.74,110,109,109.5,108.5,0.91,16.3,2.43,    ,    ,    ,    ,    
4137,麗豐-KY,市,12月12日,,190.5,0.5,0.26,70,13.3,190,190,191,188.5,1.32,16.1,2.99,    ,    ,    ,    ,    
